title,composer,price,publication_type,first_part,second_part,third_part,fourth_part,fifth_part,tempo,arrangement_difficulty,solo_difficulty,post_content,leader,album_name,label_info,personnel,date_recorded,composer_biography,product_url
Progress Report,"Williams, James",20,Sextet,Alto Sax|Trumpet|C treble clef,Guitar|Alto Sax|Tenor Sax,Tenor Sax|Trombone|Baritone Sax,,,Uptempo swing,medium-easy,medium-easy,"SEXTET INSTRUMENTATION
1st part: Alto Sax, Trumpet, C treble clef
2nd part: Guitar, Alto Sax,Tenor Sax
3rd part: Tenor Sax, Trombone, Baritone Sax
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
Because the melody and chord changes contain plenty of space, this arrangement is playable by any moderately skilled group when performed at a slightly slower, more comfortable tempo. At the recorded tempo, this arrangement would challenge any group of musicians regardless of their skill and experience.
SOLOS: The chord changes move rather slowly, with only one chord encompassing the entire A section, and chords changing every 1 or 2 measures during the B section. These are excellent changes for musicians without much experience with uptempo soloing because they're easy to hear and they don't go by too fast.
OTHER RECORDINGS
Art Farmer/Blame It On My Youth (Contemporary 14042)",JAMES WILLIAMS,PROGRESS REPORT,Sunnyside: SSC 1012,"BILL EASLEY (alto sax), BILLY PIERCE (tenor sax), KEVIN EUBANKS (guitar), JAMES WILLIAMS (piano), RUFUS REID (bass), TONY REEDUS (drums), JERRY GONZALES (congas)","Recorded May 22 & 24, 1985","JAMES WILLIAMS (b. 1951). After teaching at Berklee for 3 years, James joined Art Blakey's Jazz Messengers in 1977 (in a group that included Wynton Marsalis, Bobby Watson and Billy Pierce), where he played piano on 10 separate recordings. Since 1981, he has recorded more than 20 albums as a leader and another 20 as a sideman, many of which he also produced. He records his compositions in various settings, including vocal arrangements with the Boys Choir of Harlem and his new group, Intensive Care Unit. He has taught at the Hartt conservatory, was an artist-in-residence at Harvard and Dartmouth and continues to conduct clinics across the country and in Europe. James organized a 5-piano tour, ""The Key Players,"" and produces critically acclaimed artist tributes at New York's Merkin Concert Hall. A ""musician's musician,"" James' compositions such as Alter Ego, Fourplay, and Old Times Sake have been recorded by many Jazz greats including Blakey, Gary Burton, Art Farmer, Tommy Flanagan, Roy Hargrove, Clifford Jordan and T.S. Monk.",http://www.musicdispatch.com/product/viewproduct.do?itemid=686
Reets And I,"Harris, Bennie",20,Sextet,Alto Sax|Trumpet|C treble clef,Trumpet|Alto Sax|Tenor Sax,Alto Sax (Baritone Sax)|Tenor Sax|Trombone,,,Uptempo swing,medium,medium,"SEXTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Trumpet, Alto Sax, Tenor Sax
3rd part: Alto Sax (Baritone Sax), Tenor Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
Here's a great bebop melody that swings naturally and is full of great phrases that will augment a young player's jazz vocabulary. It also features a very distinct alternation between unisons and three-part harmony in the horns and is therefore a great tool for teaching how to approach both.
SOLOS: The solo changes consist almost entirely of II-Vs and are a great introduction to some of the more common harmonic devices found in jazz. Mastery of these changes will make many other harmonic formats (bebop blues, rhythm changes, many jazz standards) much more accessible to a young improviser.
OTHER RECORDINGS
Bud Powell/The Amazing Bud Powell Vol. 2 (Blue Note 81504)
Alan Broadbent/Pacific Standard Time (Concord 4664)
Claude Williamson/Hallucinations (VSOP 95)",FREDDIE HUBBARD & WOODY SHAW,THE ETERNAL TRIANGLE,Blue Note CDP 7 48017 2,"FREDDIE HUBBARD (trumpet), WOODY SHAW (trumpet), KENNY GARRETT (alto sax), MULGREW MILLER (piano), RAY DRUMMOND (bass), CARL ALLEN (drums)","Recorded June 12, 1987","JAMES WILLIAMS (b. 1951). After teaching at Berklee for 3 years, James joined Art Blakey's Jazz Messengers in 1977 (in a group that included Wynton Marsalis, Bobby Watson and Billy Pierce), where he played piano on 10 separate recordings. Since 1981, he has recorded more than 20 albums as a leader and another 20 as a sideman, many of which he also produced. He records his compositions in various settings, including vocal arrangements with the Boys Choir of Harlem and his new group, Intensive Care Unit. He has taught at the Hartt conservatory, was an artist-in-residence at Harvard and Dartmouth and continues to conduct clinics across the country and in Europe. James organized a 5-piano tour, ""The Key Players,"" and produces critically acclaimed artist tributes at New York's Merkin Concert Hall. A ""musician's musician,"" James' compositions such as Alter Ego, Fourplay, and Old Times Sake have been recorded by many Jazz greats including Blakey, Gary Burton, Art Farmer, Tommy Flanagan, Roy Hargrove, Clifford Jordan and T.S. Monk.",http://www.musicdispatch.com/product/viewproduct.do?itemid=514
Roll Call,"Mobley, Hank",20,Quintet,Trumpet (1st part)|E-flat|C treble clef|C bass clef,Tenor Sax (2nd part)|E-flat|C treble clef|C bass clef,,,,Uptempo Latin/swing,medium,medium,"HANK MOBLEY's ""Roll Call"" album is representative of Mobley's 20-plus exciting Blue Note hard-bop recordings of the 1960s. His output helped define the Blue Note sound. This date features the 22-year-old trumpeter Freddie Hubbard, who made his Blue Note recording debut less than 5 months before. Freddie still fondly remembers this date, which was also his first recording with Art Blakey.
QUINTET INSTRUMENTATION
Front Line: E-flat, C treble clef, C bass clef,	Trumpet (1st part),
	Tenor Sax (2nd part)
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
The drums (Latin) set up the intro. The intro ends with a horn break which starts the melody (swing) - a fun interplay between horns and rhythm section.
SOLOS: These changes are full of II-Vs in comfortable keys making them fun to blow on for any moderately skilled improviser.",HANK MOBLEY,ROLL CALL,Blue Note: CDP 7 46823 2,"HANK MOBLEY (tenor sax), FREDDIE HUBBARD (trumpet), WYNTON KELLY (piano), PAUL CHAMBERS (bass), ART BLAKEY (drums)","Recorded November 13, 1960","BENNIE HARRIS (1919-1975) Although not as well-known as the giants of bebop, ""Little"" Bennie Harris was a talented bebop trumpeter and composer. He played with Benny Carter, Coleman Hawkins, Don Byas and Thelonious Monk. Late in his career, he played with Gillespie and Parker. He is the composer of such bebop standards as Ornithology, Crazelogy, Reets & I and Wahoo.",http://www.musicdispatch.com/product/viewproduct.do?itemid=534
So Nice,"Hope, Elmo",20,Quintet,Trumpet (1st part)|E-flat|C treble clef|C bass clef,Tenor Sax (2nd part)|E-flat|C treble clef|C bass clef,,,,Medium swing,medium-easy,medium-easy,"QUINTET INSTRUMENTATION
Front Line: E-flat, C treble clef, C bass clef, Trumpet (1st part),
Tenor Sax (2nd part)
Rhythm Section: Piano, Bass, Drums, Guitar
Piano Voicings by Bertha Hope
Bass Lines
FULL SCORE			[JRTS]*
A combination of the arrangements on the two recordings shown above, this arrangement features two horn parts that move freely from unsisons to two-part harmonies and back as well as detailed rhythm section parts including piano voicings by the foremost expert on Elmo's music, his soulmate, pianist Bertha Hope.
SOLOS: These changes are very playable, with many II-Vs and A sections that stay mostly in F. The bridge goes to B-flat and returns to F via A and G, giving these common changes a nice harmonic detour.
* Jazz Repertory Transcription Series include chord voicings, bass lines, drum fills and cued melody lines in rhythm section parts.
OTHER RECORDINGS
Charlie Rouse/Soul Mates (Uptown UP27.34)",ELMO HOPE,THE ELMO HOPE QUINTET,Blue Note: CDP7 84438 2,"STU WILLIAMSON (trumpet), HAROLD LAND (tenor sax), ELMO HOPE (piano), LEROY VINNEGAR (bass), FRANK BUTLER (drums)","Recorded October 31, 1957","HANK MOBLEY (1930-1986). After leaving Art Blakey's original Jazz Messengers, Hank played with Horace Silver and Dizzy Reece before recording several albums as a member of Miles Davis' quintet (along with Wynton Kelly, Paul Chambers and Philly Joe Jones). Hank made several classic albums in the '50s and '60s for Blue Note including ""Soul Station,"" ""Straight No Filter,"" ""Workout"" and ""A Caddy For Daddy"" with sidemen including Lee Morgan, Freddie Hubbard, Paul Chambers, Billy Higgins and Wynton Kelly. Like Kenny Dorham, he is not as well-known as his talents merit and his career was shortened by health problems. His driving compositions, such as ""This I Dig of You,"" are characterized by rhythmic and harmonic twists and have been recorded by John Coltrane, Freddie Hubbard, Donald Byrd, Horace Silver, Lee Morgan and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=812
Thank You,"Dodgion, Jerry",20,Sax Quartet,Soprano Sax,Alto Sax,Tenor Sax,Baritone Sax,,Slow/medium,medium,medium,"Saxophone quartets are great sectional workouts as well as being showpieces on their own.
SAX QUARTET INSTRUMENTATION
Soprano Sax
Alto Sax
Tenor Sax
Baritone Sax
FULL SCORE
This beautiful slow composition gives you an excellent opportunity to show off a quartet's musicality, both as a group and as individuals. Each instrument is given plenty of time with the melody and there is an improvised solo for the tenor. The slow tempo is broken up with some double time feels as well as with many accelerandi and ritardandi. This chart can be played by most any quartet, while there is enough musical substance here to fully occupy even the most experienced group.",NEW YORK SAXOPHONE QUARTET,AN AMERICAN EXPERIENCE,Stash: ST 220,"RAY BECKENSTEIN (soprano sax), DENNIS ANDERSON (alto sax), BILLY KERR (tenor sax), WALLY KANE (baritone sax)","Recorded in February, 1982","ELMO HOPE (1923-1967). A classically trained pianist with technique rivaling that of his childhood friend Bud Powell and a composer of music whose inventiveness and complexity approaches that of Thelonious Monk, Elmo Hope is only now beginning to achieve the recognition he deserves because of recent reissues of his albums and the efforts of his soulmate and muse, Bertha Hope, an excellent pianist and composer as well. Although his career was circumscribed by drug problems, he recorded several albums as a leader with sidemen including John Coltrane, Paul Chambers, Blue Mitchell, Frank Foster and Jimmy Heath. His compositions have been recorded by Clifford Brown (with whom he played), Art Blakey, Charlie Rouse, James Spaulding, Lou Donaldson, Harold Land, T.S. Monk, Ralph Moore and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=838
To See Her Face,"Watson, Robert",20,Quintet,Alto Sax|B-flat|C treble clef|C bass clef,Alto Sax|B-flat|C treble clef|C bass clef,,,,Medium up swing,medium,medium-advanced,"BOBBY WATSON is one of contemporary jazz's most in-demand writers and performers, having scored for big band, sax quartet and his own combos. A Jazz Messenger alumnus, saxophonist Watson writes with a characteristic hard-swinging edge to his contemporary rhythms and harmonies.
UNISON FRONT LINE INSTRUMENTATION
RECORDED AS A QUARTET
Front Line: Alto Sax , B-flat, C treble clef, C bass clef
Rhythm Section: Piano, Bass, Drums, Guitar
Piano Voicings by Mulgrew Miller
Bass Lines by Curtis Lundy
FULL SCORE		 [JRTS]*
This has great rhythmic counterpoint between melody instruments and rhythm section. A lot of fun, when it all comes together.
SOLOS: The solo changes are neither simple nor extraordinarily difficult. Common chords are arranged in an uncommon progression, but the changes have an internal logic and a recognizable pattern that gives the solost a harmonic anchor. These may take a little work, but the work will pay off for an improviser of any ability level.
* Jazz Repertory Transcription Series includes chord voicings, bass lines, drum fills and cued melody lines in rhythm section parts.
OTHER RECORDINGS
Bobby Watson & Curtis Lundy/Beatitudes (Evidence 22178)
Bobby Watson/Tailor Made (Columbia 53416)
Art Blakey/In My Prime vol.1 (Timeless 114)",BOBBY WATSON,JEWEL,Evidence: 22043,"BOBBY WATSON (alto sax), STEVE NELSON (vibes), MULGREW MILLER (piano), CURTIS LUNDY (bass), MARVIN SMITTY SMITH (drums), DOM UM ROMAO (percussion)","Recorded in April, 1983","JERRY DODGION (b. 1932). A much sought after composer/arranger, and ""first-call"" alto saxophonist, Jerry Dodgion has played, recorded and toured with a panoply of jazz luminaries, including Count Basie, Benny Carter, Ella Fitzgerald, Benny Goodman, Dizzy Gillespie, Herbie Hancock, Charlie Mingus, Gerry Mulligan, Frank Sinatra, Clark Terry, McCoy Tyner, Sarah Vaughn and many, many others. He was a founding member of the Thad Jones/Mel Lewis Orchestra and was with the band for 12 years. Jerry is currently a member of the Carnegie Hall Jazz Band and he continues to write and arrange for both large and small ensembles.",http://www.musicdispatch.com/product/viewproduct.do?itemid=804
Trane's Strain,"Fuller, Curtis",20,Sextet,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,,,Medium swing (blues),easy,medium-easy,"This next recording features some of the earliest recorded jazz soloing by John Coltrane, as well as Curtis Fuller and Paul Chambers. This arrangement can be played by jazz players of all levels.
SEXTET INSTRUMENTATION
1st part: B-flat, E-flat, C treble clef, C bass clef
2nd part: B-flat, E-flat, C treble clef, C bass clef
3rd part: B-flat, E-flat, C treble clef, C bass clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This CURTIS FULLER piece is another historical keystone, and is easy enough to be tackled by beginners - a great introduction to bebop blues. The album features some of the earliest recorded Coltrane, Fuller and Chambers.
SOLOS: The solos are over blues changes and are playable by musicians of any ability level.",PAUL CHAMBERS,CHAMBERS' MUSIC,Blue Note: CDP 844437 2,"JOHN COLTRANE (tenor sax), CURTIS FULLER (trombone), PEPPER ADAMS (baritone sax), ROLAND ALEXANDER (piano), PAUL CHAMBERS (bass), PHILLY JOE JONES (drums)","Recorded April 20, 1955","BOBBY WATSON (b. 1953). One of the most gifted composers and arrangers in Jazz today, versatile alto-saxophonist Bobby Watson has recorded his compositions on more than 30 albums in diverse settings from sax quartets as a member of the 29th Street Saxophone Quartet, to combos with his group Horizon, to his ""Tailor Made"" big band. After receiving his degree in music theory and composition from the University of Miami, Bobby completed his jazz education in the late '70s as a member of Art Blakey's Jazz Messengers where he served as music director for 2 years in a group that included Wynton Marsalis, James Williams, Billy Pierce and Charles Fambrough. A recipient of an NEA grant for composition and a frequent clinician across the country, Bobby's works such as Appointment In Milano, Wheel Within A Wheel, Conservation and Beatitudes have been recorded by Blakey, Wynton Marsalis, Kevin Mahogany, T.S. Monk and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=704
Weird-O,"Mobley, Hank",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Baritone Sax|Trombone,,,,Medium swing,medium,medium,"HANK MOBLEY, tenor saxophonist, was a founding member of The Jazz Messengers, which later became known as Art Blakey And The Jazz Messengers. The Messengers became the most influential working unit of the hard bop school of the 1950s and '60s (and continuing through the 1980s). Mobley's arrangements for the band helped define the sound and style of future Blakey units and many other recording groups of the period. This recording has 4 of the 5 original members of The Jazz Messengers, the new member being Donald Byrd who replaced Kenny Dorham.
QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Tenor Sax, Baritone Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
CONDENSED SCORE		 [JRTS]*
<i>Weird-O</I> was recorded by the same Jazz Messengers aggregation a month later. It's a little different, as the title suggests, with a stop-and-start melodic approach. Excellent for getting the rhythm section in sync.
SOLOS: These changes feature many different II-Vs, some of which don't resolve as one would expect. They also explore several unusual key centers and contain other unique harmonic elements. Great for challenging an improviser who's comfortable with bebop harmony to play convincingly over something less conventional.
* The Jazz Repertory Transcription Series includes chord voicings, bass lines, drum fills and cued melody lines in rhythm section parts.",ART BLAKEY & THE JAZZ MESSENGERS,ORIGINALLY,Columbia: 65265,"DONALD BYRD (trumpet), HANK MOBLEY (tenor sax), HORACE SILVER (piano), DOUG WATKINS (bass), ART BLAKEY (drums)","Recorded May 4, 1956","CURTIS FULLER (b. 1934). Possibly the greatest trombonist-composer since J.J. Johnson, Curtis is one of the many great Detroit bop players, including Tommy Flanagan, Paul Chambers, and Hank Jones, all of whom he recorded with. After stints with Cannonball Adderley, Kenny Burrell and Miles Davis, he joined the Golson-Farmer Jazztet ('59-60) and was with Art Blakey's Jazz Messengers ('62-65) in a group that included Wayne Shorter, Freddie Hubbard and Cedar Walton. Except for tours with Dizzy Gillespie ('68) and Count Basie ('75-78), Curtis has freelanced since the mid '60s and has played on scores of albums as both a leader and a sideman, frequently with his fellow Jazztet and Messenger alums. Curtis was influenced by his friend, John Coltrane, and can be heard on the classic ""Blue Train"" album.",http://www.musicdispatch.com/product/viewproduct.do?itemid=644
What Do You Say Dr. J.,"Williams, James",20,Sextet,Trumpet|Alto Sax|C treble clef,Alto Sax|Tenor Sax,Tenor Sax|Baritone Sax|Trombone,,,Medium shuffle,medium-easy,medium,"This JAMES WILLIAMS contribution to the Jazz Messenger book is in the trademark Blakey ""shuffle"" style.
SEXTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Alto Sax, Tenor Sax
3rd part: Tenor Sax, Baritone Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
CONDENSED SCORE		 [JRTS]*
This bluesy shuffle features a piano and bass unison against the melody which is set in rich 3-part harmony for the horns. Several places highlight the effective use of dynamics. The rhythm parts, which only have 2 simple ensemble figures with the horns, are free to focus on the groove which is this arrangement's most important element.
SOLOS: The solos are based on a simple I to IV progression that moves into the cycle of fourths and back. These are great standard groove changes.
* Jazz Repertory Transcription Series = includes chord voicings, written bass lines, drum fills and melody line cues in rhythm section parts.",ART BLAKEY & THE JAZZ MESSENGERS,REFLECTIONS IN BLUE,Timeless Records: SJP 128 (Gowi: CD SJP 128),"VALERY PONOMAREV (trumpet), ROBERT WATSON (alto sax), DAVID SCHNITTER (tenor sax), JAMES WILLIAMS (piano), DENNIS IRWIN (bass), ART BLAKEY (drums)","Recorded December 4, 1978","HANK MOBLEY (1930-1986). After leaving Art Blakey's original Jazz Messengers, Hank played with Horace Silver and Dizzy Reece before recording several albums as a member of Miles Davis' quintet (along with Wynton Kelly, Paul Chambers and Philly Joe Jones). Hank made several classic albums in the '50s and '60s for Blue Note including ""Soul Station,"" ""Straight No Filter,"" ""Workout"" and ""A Caddy For Daddy"" with sidemen including Lee Morgan, Freddie Hubbard, Paul Chambers, Billy Higgins and Wynton Kelly. Like Kenny Dorham, he is not as well-known as his talents merit and his career was shortened by health problems. His driving compositions, such as ""This I Dig of You,"" are characterized by rhythmic and harmonic twists and have been recorded by John Coltrane, Freddie Hubbard, Donald Byrd, Horace Silver, Lee Morgan and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=650
Appointment In Milano,"Watson, Robert",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Alto Sax|Trombone,,,,Medium up swing,medium-easy,medium,"QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Alto Sax, Tenor Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
One of Bobby's favorite titles (he's recorded it on 2 separate occasions), this enjoyable arrangement focuses on a diatonic melody over chord changes that alternate between two closely related keys during the A section and some more distant changes during the bridge.
SOLOS: These changes are easy enough for most players to handle without a problem. The A section allows a player to focus on working within a diatonic framework and manipulating the subtle harmonic shadings between closely related key centers. The bridge goes a little further away from the key centers of the A section, but it's still very playable.
OTHER RECORDINGS
The TS Monk sextet also recorded this composition, arranged by Don Sickler.
Bobby Watson/Appointment In Milano (Red Records 184)
Kevin Mahogany/Another Time, Another Place (Warner Bros 46699) (lyric version)",BOBBY WATSON & HORIZON featuring VICTOR LEWIS,POST-MOTOWN BOP,Blue Note: CDP 7 95148 2,"BOBBY WATSON (alto & soprano sax), MELTON MUSTAFA (trumpet), EDWARD SIMON (piano), CARROLL DASHIELL (bass), VICTOR LEWIS (drums)","Recorded September 17 & 18, 1990","JAMES WILLIAMS (b. 1951). After teaching at Berklee for 3 years, James joined Art Blakey's Jazz Messengers in 1977 (in a group that included Wynton Marsalis, Bobby Watson and Billy Pierce), where he played piano on 10 separate recordings. Since 1981, he has recorded more than 20 albums as a leader and another 20 as a sideman, many of which he also produced. He records his compositions in various settings, including vocal arrangements with the Boys Choir of Harlem and his new group, Intensive Care Unit. He has taught at the Hartt conservatory, was an artist-in-residence at Harvard and Dartmouth and continues to conduct clinics across the country and in Europe. James organized a 5-piano tour, ""The Key Players,"" and produces critically acclaimed artist tributes at New York's Merkin Concert Hall. A ""musician's musician,"" James' compositions such as ""Alter Ego,"" ""Fourplay,"" and ""Old Times Sake"" have been recorded by many Jazz greats including Blakey, Gary Burton, Art Farmer, Tommy Flanagan, Roy Hargrove, Clifford Jordan and T.S. Monk.",http://www.musicdispatch.com/product/viewproduct.do?itemid=558
B For BB,"Mobley, Hank",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Alto Sax|Trombone,,,,Medium swing,medium-easy,medium-easy,"Mobley's arrangements for the band helped define the sound and style of future Blakey units and many other recording groups of the period.
QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Tenor Sax, Alto Sax, 	Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
""B For BB"" was one of Mobley's early dates as a leader, and is now available again. A straight-ahead swinger, it is an easy bebop head that practically swings by itself with a couple of rhythmic twists and chromatic figures thrown in to maintain interest. The solo section includes some traded fours between soloist and ensemble and the rhythm section parts move seamlessly between keeping time and accentuating some of the more prominent rhythms played by the horns. This will be fun to play for players of all ability levels.
SOLOS: The changes move between F and B-flat. These are excellent changes for all improvisers regardless of their level of skill. II-V changes.",HANK MOBLEY,"THE JAZZ MESSAGE OF HANK MOBLEY, Vol. 2","Savoy: 	SV 0158 (CD)","HANK MOBLEY (tenor sax), DONALD BYRD (trumpet), BARRY HARRIS (piano), DOUG WATKINS (bass), KENNY CLARKE (drums)","Recorded July 23, 1956","BOBBY WATSON (b. 1953). One of the most gifted composers and arrangers in Jazz today, versatile alto-saxophonist Bobby Watson has recorded his compositions on more than 30 albums in diverse settings from sax quartets as a member of the 29th Street Saxophone Quartet, to combos with his group Horizon, to his ""Tailor Made"" big band. After receiving his degree in music theory and composition from the University of Miami, Bobby completed his jazz education in the late '70s as a member of Art Blakey's Jazz Messengers where he served as music director for 2 years in a group that included Wynton Marsalis, James Williams, Billy Pierce and Charles Fambrough. A recipient of an NEA grant for composition and a frequent clinician across the country, Bobby's works such as Appointment In Milano, Wheel Within A Wheel, Conservation and Beatitudes have been recorded by Blakey, Wynton Marsalis, Kevin Mahogany, T.S. Monk and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=562
Capetown Ambush,"Brown, Donald",20,Quintet,Trumpet|Alto Sax|C treble clef,Soprano Sax|Alto Sax|Trombone,,,,Medium Latin,medium,medium,"QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Soprano Sax, Alto Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This medium Latin chart features intricate counterpoint between the first and second parts and a repeated note figure in the piano that continues through most of the arrangement. The entire ensemble is challenged to be creative with a limited number of harmonic and motivic ideas.
SOLOS: a B-flat pedal vamp",DONALD BROWN,SOURCES OF INSPIRATION,Muse: MCD 5385,"EDDIE HENDERSON (trumpet), GARY BARTZ (alto sax & soprano sax), DONALD BROWN (piano), BUSTER WILLIAMS (bass), CARL ALLEN (drums)","Recorded August 11, 1989","HANK MOBLEY (1930-1986). After leaving Art Blakey's original Jazz Messengers, Hank played with Horace Silver and Dizzy Reece before recording several albums as a member of Miles Davis' quintet (along with Wynton Kelly, Paul Chambers and Philly Joe Jones). Hank made several classic albums in the '50s and '60s for Blue Note including ""Soul Station,"" ""Straight No Filter,"" ""Workout"" and ""A Caddy For Daddy"" with sidemen including Lee Morgan, Freddie Hubbard, Paul Chambers, Billy Higgins and Wynton Kelly. Like Kenny Dorham, he is not as well-known as his talents merit and his career was shortened by health problems. His driving compositions, such as ""This I Dig of You,"" are characterized by rhythmic and harmonic twists and have been recorded by John Coltrane, Freddie Hubbard, Donald Byrd, Horace Silver, Lee Morgan and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=570
Cette Chose,"Jaspar, Bobby",20,Quintet,Trombone|Trumpet|Alto Sax|C treble clef,Tenor Sax|Alto Sax (Baritone Sax)|Trombone,,,,Medium up swing,medium,medium-easy,"QUINTET INSTRUMENTATION
1st part: Trombone, Trumpet, Alto Sax,  C treble clef
2nd part: Tenor Sax, Alto Sax (Baritone Sax), Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
By focusing on the intervals of a second and a seventh, Jaspar creates a colorful melody over changes roughly equvalent to those of <I>What Is This Thing Called Love</I>. Some of the large intervals may require a little work at first, but this intriguing melody will surely make for an impressive performance. The B section of the melody is given different settings at the beginning and at the end.
SOLOS: The solo changes are full of II-Vs and they stay within the easier key centers, making them playable by musicians of most any ability level.
OTHER RECORDINGS
originally on J.J. Johnson/Dial J.J.5 (Columbia CL 1085)",J.J. JOHNSON,The Complete Columbia J.J. JOHNSON Small Group Sessions,Mosaic: MD7-169 / Sony: 28086,"J.J. JOHNSON (trombone), BOBBY JASPAR (tenor sax), TOMMY FLANAGAN (piano), WILBUR LITTLE (bass), ELVIN JONES (drums)","Recorded January 31, 1957","DONALD BROWN (b. 1954). Like his friend and fellow Memphian, James Williams, whom he replaced as pianist in Art Blakey's Jazz Messengers, Donald is a noted composer, educator and recording artist. After teaching at Berklee for 5 years, Donald moved to the University of Tennessee, Knoxville. Particularly active in the 1980s, his compositions, including contemporary standards like Affaire D'Amour, New York, and The Insane Asylum have been recorded by Wynton Marsalis, Art Blakey, Art Farmer, Donald Byrd, Mulgrew Miller, T.S. Monk and many others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=728
Down Through The Years,"Jordan, Clifford",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Alto Sax|Trombone,,,,Medium swing,medium-easy,medium-advanced,"QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Tenor Sax, Alto Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
<I>Down Through The Years</I> is a gorgeous chart playable by any quintet.
SOLOS: These colorful solo changes are also beautifully constructed, and have a natural, logical flow. Jordan's advanced harmonic palette
will probably require some practice and may be slightly beyond most inexperienced improvisers.
OTHER RECORDINGS
Clifford Jordan Big Band/Live At Condon's (Milestone MCD 9197)",CLIFFORD JORDAN,STARTING TIME,Fantasy (Jazzland): OJC-147 (LP),"CLIFFORD JORDAN (tenor sax), KENNY DORHAM (trumpet), CEDAR WALTON (piano), WILBUR WARE (bass), ALBERT HEATH (drums)","Recorded June 14 & 15, 1961","BOBBY JASPAR (1926-1963) Belgian-born flutist and tenor saxophonist, Bobby Jaspar was a first-call sideman in the Fifties and Sixties. He played with Toots Thielmanns, Chet Baker, J.J. Johnson, Donald Byrd, Miles Davis and many others. He also recorded several albums as a leader.",http://www.musicdispatch.com/product/viewproduct.do?itemid=746
